PartitionKey,RowKey,Timestamp,message
17817,1.53946E+12,2019-10-13T18:38:45.788Z,"[{""messageId"":1,""deviceId"":""rp1"",""temperature"":27.89842424748392,""humidity"":66.18899786567043}]"
17817,1.53946E+12,2019-10-13T18:38:48.225Z,"[{""messageId"":1,""deviceId"":""rp2"",""temperature"":23.967344651588533,""humidity"":78.26846948549704}]"
17817,1.53946E+12,2019-10-13T18:38:49.050Z,"[{""messageId"":2,""deviceId"":""rp1"",""temperature"":25.023682435450176,""humidity"":70.84734171080933}]"
17817,1.53946E+12,2019-10-13T18:38:52.272Z,"[{""messageId"":1,""deviceId"":""rp3"",""temperature"":23.17908642688895,""humidity"":60.769660620436916}]"
17817,1.53946E+12,2019-10-13T18:38:52.943Z,"[{""messageId"":2,""deviceId"":""rp2"",""temperature"":26.819349596738242,""humidity"":67.89979083711378}]"
17817,1.53946E+12,2019-10-13T18:38:54.003Z,"[{""messageId"":3,""deviceId"":""rp1"",""temperature"":21.719083345741865,""humidity"":63.743514036528154}]"
17817,1.53946E+12,2019-10-13T18:38:57.015Z,"[{""messageId"":2,""deviceId"":""rp3"",""temperature"":23.12065123900881,""humidity"":77.65091298550178}]"
17817,1.53946E+12,2019-10-13T18:38:57.082Z,"[{""messageId"":3,""deviceId"":""rp2"",""temperature"":24.54872345403667,""humidity"":64.68696693891582}]"
17817,1.53946E+12,2019-10-13T18:38:58.918Z,"[{""messageId"":4,""deviceId"":""rp1"",""temperature"":24.37544135955083,""humidity"":74.03294974742829}]"
17817,1.53946E+12,2019-10-13T18:39:01.900Z,"[{""messageId"":3,""deviceId"":""rp3"",""temperature"":28.114818825676863,""humidity"":75.42873057273142}]"
17817,1.53946E+12,2019-10-13T18:39:03.020Z,"[{""messageId"":4,""deviceId"":""rp2"",""temperature"":20.490016723037332,""humidity"":74.24113660620203}]"
17817,1.53946E+12,2019-10-13T18:39:03.076Z,"[{""messageId"":5,""deviceId"":""rp1"",""temperature"":30.883818454993918,""humidity"":67.0831181937332}]"
17817,1.53946E+12,2019-10-13T18:39:07.047Z,"[{""messageId"":4,""deviceId"":""rp3"",""temperature"":27.576691298659764,""humidity"":73.46166980630201}]"
17817,1.53946E+12,2019-10-13T18:39:07.944Z,"[{""messageId"":5,""deviceId"":""rp2"",""temperature"":21.50111262495196,""humidity"":76.33582898771925}]"
